01.0155	agi~	gatO
01.0156	vagi~	gatO
01.0157	magi~	gatO
01.0158	tagi~	gatO
01.0159	tvagi~	gatO
01.0160	tragi~	gatO
01.0161	Sragi~	gatO
01.0162	Slagi~	gatO
01.0163	igi~	gatO
01.0164	rigi~	gatO
01.0165	ligi~	gatO
01.0166	muKi~	gatO
01.0167	Taki~	gatO
01.0168	riKa~	gatO
01.0169	riKi~	gatO
01.0170	liKa~	gatO
01.0171	liKi~	gatO
01.0172	traKa~	gatO
01.0173	triKi~	gatO
01.0174	SiKi~	gatO
01.0175	yugi~	varjane
01.0176	jugi~	varjane
01.0177	bugi~	varjane
01.0178	vugi~	varjane
01.0179	GaGa~	hasane
01.0180	GagGa~	hasane
01.0181	daGi~	pAlane
01.0182	laGi~	-
01.0183	maGi~	-
01.0184	SiGi~	AGrARe
01.0185	arGa~	mUlye
01.0186	varca~\	dIptO
01.0187	zaca~\	-
01.0188	locf~\	darSane
01.0189	Saca~\	vyaktAyAM vAci
01.0190	Svaca~\	gatO
01.0191	Svaci~\	gatO
01.0192	kaca~\	banDane
01.0193	kaci~\	dIptibanDanayoH
01.0194	kAci~\	dIptibanDanayoH
01.0195	maca~\	kalkane kaTane ca
01.0196	muci~\	kalkane kaTane ca
01.0197	maci~\	DAraRocCrAyapUjanezu
01.0198	paci~\	vyaktIkaraRe
01.0199	zwuca~\	prasAde
01.0200	fja~\	gatisTAnArjanopArjanezu
01.0201	fji~\	Barjane
01.0202	BfjI~\	Barjane
01.0203	ejf~\	-
01.0204	Brejf~\	dIptO
01.0205	BrAjf~\	dIptO
01.0206	rejf~\	dIptO
01.0207	Ija~\	gatikutsanayoH
01.0208	Iji~\	gatikutsanayoH
01.0209	vIja~\	gatO
01.0210	Suca~	Soke
01.0211	kuca~	-
01.0212	kunca~	kOwilyAlpIBAvayoH
01.0213	krunca~	kOwilyAlpIBAvayoH
01.0214	lunca~	apanayane
01.0215	ancu~	-
01.0216	vancu~	gatO
01.0217	cancu~	gatO
01.0218	tancu~	gatO
01.0219	tvancu~	gatO
01.0220	mruncu~	gatO
01.0221	mluncu~	gatO
01.0222	mrucu~	gatO
01.0223	mlucu~	gatO
01.0224	grucu~	steyakaraRe
01.0225	glucu~	steyakaraRe
01.0226	kuju~	steyakaraRe
01.0227	Kuju~	steyakaraRe
01.0228	glunca~	gatO
